import time: self [us] | cumulative | imported package
import time:      2704 |       5185 |     django.db.migrations.loader
import time:      3214 |       8399 |   django.db.migrations.questioner
import time:      7743 |      18327 | django.db.migrations.autodetector
import time:      2846 |       2846 |   django.db.migrations.serializer
import time:      5223 |       8068 | django.db.migrations.writer
import time:      1085 |       1085 | django.core.management.sql
import time:      1896 |       1896 | django.db.migrations.executor
import time:      2037 |       2037 | django.contrib.auth.backends
import time:      2582 |       2582 | django.contrib.auth.views
import time:      1263 |       1263 |   django.contrib.sessions.backends
import time:      2559 |       3821 | django.contrib.sessions.backends.base
import time:      1334 |       1334 | django.contrib.sessions.exceptions
import time:      3658 |       3658 |   django.views.defaults
import time:      2745 |       6403 | django.conf.urls
System check identified no issues (0 silenced).
import time:      1674 |       1674 | encodings.utf_16_le
import time:      2670 |       2670 | django.db.models.sql.compiler
import time:      1890 |       1890 |   stringprep
import time:      3390 |       5279 | encodings.idna
February 23, 2026 - 17:59:22
Django version 5.2.11, using settings 'config.settings'
Starting development server at http://127.0.0.1:8000/
Quit the server with CTRL-BREAK.

WARNING: This is a development server. Do not use it in a production setting. Use a production WSGI or ASGI server instead.
For more information on production servers see: https://docs.djangoproject.com/en/5.2/howto/deployment/
