import time: self [us] | cumulative | imported package
import time:      2552 |       2552 |             asyncio.proactor_events
import time:      1639 |       1639 |                 select
import time:      4698 |       6336 |               selectors
import time:      2899 |       9234 |             asyncio.selector_events
import time:      1837 |       1837 |                   zlib
import time:      3646 |       3646 |                       compression
import time:     12888 |      16533 |                     compression._common
import time:      2264 |       2264 |                     compression._common._streams
import time:      5310 |       5310 |                     _bz2
import time:      3741 |      27847 |                   bz2
import time:      1522 |       1522 |                     _lzma
import time:      2476 |       3997 |                   lzma
import time:      1637 |       1637 |                     _zstd
import time:      1963 |       1963 |                     compression.zstd._zstdfile
import time:      6327 |       9927 |                   compression.zstd
import time:     16935 |      60541 |                 shutil
import time:       136 |        136 |                     _bisect
import time:      1998 |       2133 |                   bisect
import time:        91 |         91 |                   _random
import time:      3377 |       5601 |                 random
import time:      3090 |      69231 |               tempfile
import time:      2141 |      71372 |             asyncio.windows_utils
import time:     10470 |      98664 |           asyncio.windows_events
import time:      8104 |     549634 |         asyncio
import time:      2405 |       2405 |             _queue
import time:      2413 |       4818 |           queue
import time:      2277 |       7095 |         concurrent.futures.thread
import time:       144 |        144 |           _typing
import time:     44263 |      44407 |         typing
import time:      3754 |       3754 |         asgiref.current_thread_executor
import time:      1528 |       1528 |         asgiref.local
import time:      6238 |     616900 |       asgiref.sync
import time:     11588 |     628488 |     django.utils.deprecation
import time:     40200 |     993005 |   django.conf
import time:      3093 |       3093 |       django.core.checks.messages
import time:     23371 |      23371 |         django.utils.inspect
import time:      3777 |      27148 |       django.core.checks.registry
import time:      1824 |       1824 |       django.core.checks.async_checks
import time:      2100 |       2100 |               django.dispatch.dispatcher
import time:      2689 |       4789 |             django.dispatch
import time:      1922 |       6710 |           django.core.signals
import time:      1919 |       1919 |             django.core.cache.backends
import time:      4497 |       6415 |           django.core.cache.backends.base
import time:      1648 |       1648 |           django.utils.connection
import time:     20212 |      34984 |         django.core.cache
import time:      2100 |       2100 |             _compat_pickle
import time:       306 |        306 |             _pickle
import time:      7497 |       9902 |           pickle
import time:      3330 |       3330 |             _hashlib
import time:       244 |        244 |             _blake2
import time:     34918 |      38492 |           hashlib
import time:      3542 |       3542 |               django.core.files.utils
import time:      6584 |      10125 |             django.core.files.base
import time:      4912 |      15036 |           django.core.files
import time:      6096 |       6096 |               sysconfig
import time:      5353 |       5353 |               _ctypes
import time:      4826 |       4826 |               ctypes._endian
import time:     22846 |      39119 |             ctypes
import time:      1460 |       1460 |               ctypes._layout
import time:      5976 |       7436 |             ctypes.wintypes
import time:      3278 |      49832 |           django.core.files.locks
import time:      1465 |       1465 |           django.core.files.move
import time:      4751 |     119475 |         django.core.cache.backends.filebased
import time:      4125 |     158584 |       django.core.checks.caches
import time:      1569 |       1569 |       django.core.checks.commands
import time:      1680 |       1680 |         django.core.checks.compatibility
